"wis_by_STATE.model","wis_by_STATE.STATE","wis_by_STATE.horizon","wis_by_STATE.target_end_date","wis_by_STATE.wis"
"FluSight","Alabama",-2,2024-05-04,4.22445652173913
"FluSight","Alabama",0,2022-10-22,40.7950956521739
"FluSight","Alabama",0,2022-10-29,106.006286956522
"FluSight","Alabama",0,2022-11-05,78.4300434782609
"FluSight","Alabama",0,2022-11-12,24.9567276520591
"FluSight","Alabama",0,2022-11-19,51.1626347826087
"FluSight","Alabama",0,2022-11-26,4.8698347826087
"FluSight","Alabama",0,2022-12-03,91.9479043478261
"FluSight","Alabama",0,2022-12-10,88.1700652173913
"FluSight","Alabama",0,2022-12-17,50.6929641744244
"FluSight","Alabama",0,2022-12-24,7.34588695652174
"FluSight","Alabama",0,2022-12-31,8.11712173913044
"FluSight","Alabama",0,2023-01-07,16.1084652173913
"FluSight","Alabama",0,2023-01-14,17.196752173913
"FluSight","Alabama",0,2023-01-21,25.7108664865996
"FluSight","Alabama",0,2023-01-28,11.0690195652174
"FluSight","Alabama",0,2023-02-04,6.97518043478261
"FluSight","Alabama",0,2023-02-11,7.03199347826087
"FluSight","Alabama",0,2023-02-18,5.04793695652174
"FluSight","Alabama",0,2023-02-25,4.67409170428661
"FluSight","Alabama",0,2023-03-04,10.0556934782609
"FluSight","Alabama",0,2023-03-11,3.83033260869565
"FluSight","Alabama",0,2023-03-18,4.74018913043478
"FluSight","Alabama",0,2023-03-25,3.89482826086957
"FluSight","Alabama",0,2023-04-01,5.49294565217391
"FluSight","Alabama",0,2023-04-08,7.03019347826087
"FluSight","Alabama",0,2023-04-15,3.37026739130435
"FluSight","Alabama",0,2023-04-22,4.08925434782609
"FluSight","Alabama",0,2023-04-29,5.25824130434783
"FluSight","Alabama",0,2023-05-06,5.39919313051826
"FluSight","Alabama",0,2023-05-13,5.44121521739131
"FluSight","Alabama",0,2023-05-20,3.41063695652174
"FluSight","Alabama",0,2023-09-16,8.59802173913043
"FluSight","Alabama",0,2023-09-23,5.53055307835687
"FluSight","Alabama",0,2023-09-30,6.98741304347826
"FluSight","Alabama",0,2023-10-07,3.11863043478261
"FluSight","Alabama",0,2023-10-14,4.07539130434783
"FluSight","Alabama",0,2023-10-21,3.38617391304348
"FluSight","Alabama",0,2023-10-28,2.84042782601739
"FluSight","Alabama",0,2023-11-04,3.70208695652174
"FluSight","Alabama",0,2023-11-11,14.1798260869565
"FluSight","Alabama",0,2023-11-18,10.5088695652174
"FluSight","Alabama",0,2023-11-25,3.31617391304348
"FluSight","Alabama",0,2023-12-02,7.33826650440418
"FluSight","Alabama",0,2023-12-09,16.3699130434783
"FluSight","Alabama",0,2023-12-16,28.0222173913043
"FluSight","Alabama",0,2023-12-23,99.2981739130435
"FluSight","Alabama",0,2023-12-30,13.1997826086957
"FluSight","Alabama",0,2024-01-06,36.3189190957127
"FluSight","Alabama",0,2024-01-13,85.0284782608696
"FluSight","Alabama",0,2024-01-20,44.7139130434783
"FluSight","Alabama",0,2024-01-27,19.4908695652174
"FluSight","Alabama",0,2024-02-03,27.2752173913043
"FluSight","Alabama",0,2024-02-10,6.29651311295722
"FluSight","Alabama",0,2024-02-17,6.74913043478261
"FluSight","Alabama",0,2024-02-24,22.6508695652174
"FluSight","Alabama",0,2024-03-02,3.94380434782609
"FluSight","Alabama",0,2024-03-09,5.3079347826087
"FluSight","Alabama",0,2024-03-16,8.18944274768835
"FluSight","Alabama",0,2024-03-23,6.04141304347826
"FluSight","Alabama",0,2024-03-30,4.43380434782609
"FluSight","Alabama",0,2024-04-06,12.9905434782609
"FluSight","Alabama",0,2024-04-13,12.0490217391304
"FluSight","Alabama",0,2024-04-20,3.22488156512
"FluSight","Alabama",0,2024-04-27,3.27510869565217
"FluSight","Alabama",0,2024-05-04,4.22445652173913
"FluSight","Alabama",0,2024-05-11,9.50469044153485
"FluSight","Alabama",0,2024-05-18,8.70170754987985
"FluSight","Alabama",1,2022-10-29,156.580120813447
"FluSight","Alabama",1,2022-11-05,202.423121574716
"FluSight","Alabama",1,2022-11-12,39.9639429848212
"FluSight","Alabama",1,2022-11-19,74.5154342911473
"FluSight","Alabama",1,2022-11-26,45.3486796243832
"FluSight","Alabama",1,2022-12-03,80.107943177997
"FluSight","Alabama",1,2022-12-10,9.54828837710116
"FluSight","Alabama",1,2022-12-17,153.731682228083
"FluSight","Alabama",1,2022-12-24,45.2840713461048
"FluSight","Alabama",1,2022-12-31,15.4331789586591
"FluSight","Alabama",1,2023-01-07,20.9980795122082
"FluSight","Alabama",1,2023-01-14,28.6200262179796
"FluSight","Alabama",1,2023-01-21,37.8520243840917
"FluSight","Alabama",1,2023-01-28,31.874711590355
"FluSight","Alabama",1,2023-02-04,16.1296333518335
"FluSight","Alabama",1,2023-02-11,12.9668065407176
"FluSight","Alabama",1,2023-02-18,10.5928621743826
"FluSight","Alabama",1,2023-02-25,9.37866668931907
"FluSight","Alabama",1,2023-03-04,11.6965787518745
"FluSight","Alabama",1,2023-03-11,11.5785824404331
"FluSight","Alabama",1,2023-03-18,8.21090546588075
"FluSight","Alabama",1,2023-03-25,7.59954027401143
"FluSight","Alabama",1,2023-04-01,7.94357031065963
"FluSight","Alabama",1,2023-04-08,7.36087849900238
"FluSight","Alabama",1,2023-04-15,9.53637467326847
"FluSight","Alabama",1,2023-04-22,6.7746149423016
"FluSight","Alabama",1,2023-04-29,6.59802815432502
"FluSight","Alabama",1,2023-05-06,10.2762686871434
"FluSight","Alabama",1,2023-05-13,5.80863216312598
"FluSight","Alabama",1,2023-05-20,5.70975035259048
"FluSight","Alabama",1,2023-05-27,5.89528924669681
"FluSight","Alabama",1,2023-09-23,4.56077769760306
"FluSight","Alabama",1,2023-09-30,5.00109258703457
"FluSight","Alabama",1,2023-10-07,5.8283452465829
"FluSight","Alabama",1,2023-10-14,5.04153922841402
"FluSight","Alabama",1,2023-10-21,6.61115587710225
"FluSight","Alabama",1,2023-10-28,5.54000597892935
"FluSight","Alabama",1,2023-11-04,5.80697590525905
"FluSight","Alabama",1,2023-11-11,15.6027259146939
"FluSight","Alabama",1,2023-11-18,23.5718728282065
"FluSight","Alabama",1,2023-11-25,8.8187365785397
"FluSight","Alabama",1,2023-12-02,6.89754942095073
"FluSight","Alabama",1,2023-12-09,22.5918487986836
"FluSight","Alabama",1,2023-12-16,43.5046944171833
"FluSight","Alabama",1,2023-12-23,130.549783828773
"FluSight","Alabama",1,2023-12-30,110.369355220704
"FluSight","Alabama",1,2024-01-06,48.0148915007194
"FluSight","Alabama",1,2024-01-13,37.639950367395
"FluSight","Alabama",1,2024-01-20,137.488326851312
"FluSight","Alabama",1,2024-01-27,62.3220103362773
"FluSight","Alabama",1,2024-02-03,44.7114497631063
"FluSight","Alabama",1,2024-02-10,19.1403046773076
"FluSight","Alabama",1,2024-02-17,12.1352571493976
"FluSight","Alabama",1,2024-02-24,15.0599089184805
"FluSight","Alabama",1,2024-03-02,21.8091516393207
"FluSight","Alabama",1,2024-03-09,8.31074182133126
"FluSight","Alabama",1,2024-03-16,12.4847538314079
"FluSight","Alabama",1,2024-03-23,13.292170604793
"FluSight","Alabama",1,2024-03-30,6.9722523715672
"FluSight","Alabama",1,2024-04-06,10.3635903010334
"FluSight","Alabama",1,2024-04-13,24.0770827517188
"FluSight","Alabama",1,2024-04-20,12.381883057048
"FluSight","Alabama",1,2024-04-27,5.7301276976248
"FluSight","Alabama",1,2024-05-04,6.51631298680378
"FluSight","Alabama",1,2024-05-11,9.58275923746194
"FluSight","Alabama",1,2024-05-18,8.77130971111885
"FluSight","Alabama",2,2022-11-05,255.152120513596
"FluSight","Alabama",2,2022-11-12,159.409270140115
"FluSight","Alabama",2,2022-11-19,10.7655150736942
"FluSight","Alabama",2,2022-11-26,69.4052402039455
"FluSight","Alabama",2,2022-12-03,26.6443647145602
"FluSight","Alabama",2,2022-12-10,14.4768490794473
"FluSight","Alabama",2,2022-12-17,46.2809269527478
"FluSight","Alabama",2,2022-12-24,141.16968005117
"FluSight","Alabama",2,2022-12-31,46.4075430928875
"FluSight","Alabama",2,2023-01-07,24.4456194722165
"FluSight","Alabama",2,2023-01-14,31.7239200186784
"FluSight","Alabama",2,2023-01-21,48.9656875697453
"FluSight","Alabama",2,2023-01-28,44.4218283588053
"FluSight","Alabama",2,2023-02-04,34.4345502056325
"FluSight","Alabama",2,2023-02-11,20.1516707624468
"FluSight","Alabama",2,2023-02-18,15.4874648403223
"FluSight","Alabama",2,2023-02-25,13.6851535223613
"FluSight","Alabama",2,2023-03-04,13.8119789973769
"FluSight","Alabama",2,2023-03-11,13.7522395953307
"FluSight","Alabama",2,2023-03-18,12.7506802067151
"FluSight","Alabama",2,2023-03-25,10.5897279680188
"FluSight","Alabama",2,2023-04-01,11.0807841399936
"FluSight","Alabama",2,2023-04-08,10.7475367066714
"FluSight","Alabama",2,2023-04-15,10.1730186724259
"FluSight","Alabama",2,2023-04-22,10.8866785362854
"FluSight","Alabama",2,2023-04-29,9.47235231263182
"FluSight","Alabama",2,2023-05-06,10.3733537188633
"FluSight","Alabama",2,2023-05-13,9.56142049492234
"FluSight","Alabama",2,2023-05-20,8.27658115870289
"FluSight","Alabama",2,2023-05-27,7.50429137663116
"FluSight","Alabama",2,2023-06-03,9.35141805663709
"FluSight","Alabama",2,2023-09-30,9.3812593532457
"FluSight","Alabama",2,2023-10-07,6.68807676296328
"FluSight","Alabama",2,2023-10-14,8.79214281753688
"FluSight","Alabama",2,2023-10-21,7.40642632593717
"FluSight","Alabama",2,2023-10-28,8.42270668091463
